site_code,lat_start,lon_start,lat_end,lon_end,date,start_time,end_time,transect_length,compass_bearing,quad_dim,transect,quadrat,taxonID,cover,personnel,notes
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,1,Zmarina,70,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,1,greenAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,1,brownAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,2,Zmarina,60,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,2,greenAlgae,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,2,brownAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,2,anemone,1,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,3,Zmarina,90,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,3,brownAlgae,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,3,greenAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,4,Zmarina,65,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,4,brownAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,5,Zmarina,80,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,5,brownAlgae,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,5,greenAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,6,Zmarina,50,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,6,brownAlgae,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,7,Zmarina,30,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,7,greenAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,7,brownAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,8,Zmarina,60,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,8,brownAlgae,20,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,8,greenAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,1,greenAlgae,4,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,2,Zmarina,10,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,2,brownAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,3,Zmarina,90,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,3,brownAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,4,Zmarina,90,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,5,Zmarina,20,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,5,greenAlgae,1,Whippo | Jones | Fliearman,
