type,qual_dens,lat,lon
seagrass,none,59.63471499999997,-151.491173
seagrass,none,59.63430200000002,-151.490264
seagrass,trace,59.633909,-151.48904
seagrass,trace,59.633509000000004,-151.487963
seagrass,trace,59.633142999999976,-151.486916
seagrass,trace,59.63274799999999,-151.48588
seagrass,none,59.632342,-151.48480500000002
seagrass,trace,59.63196700000001,-151.483786
seagrass,trace,59.63155900000001,-151.482691
seagrass,trace,59.63116400000004,-151.48163
seagrass,trace,59.63078699999999,-151.480554
seagrass,trace,59.630365999999924,-151.479438
seagrass,trace,59.630025999999994,-151.47826200000003
seagrass,trace,59.629590000000015,-151.477271
seagrass,trace,59.629231999999995,-151.47618
seagrass,none,59.63463239999998,-151.4909912
seagrass,none,59.63454980000001,-151.4908094
seagrass,none,59.63446719999998,-151.4906276
seagrass,trace,59.63438460000001,-151.4904458
seagrass,trace,59.6342234,-151.4900192
seagrass,none,59.63414479999997,-151.4897744
seagrass,trace,59.634066200000035,-151.4895296
seagrass,none,59.63398759999997,-151.4892848
seagrass,trace,59.63382899999998,-151.4888246
seagrass,trace,59.63374900000002,-151.48860919999998
seagrass,trace,59.63366899999997,-151.4883938
seagrass,trace,59.633588999999986,-151.4881784
seagrass,trace,59.633435799999944,-151.48775360000002
seagrass,trace,59.63336260000003,-151.4875442
seagrass,trace,59.633289399999974,-151.4873348
seagrass,trace,59.63321620000001,-151.4871254
seagrass,trace,59.63306400000001,-151.4867088
seagrass,trace,59.632985000000005,-151.4865016
seagrass,trace,59.63290600000002,-151.48629440000002
seagrass,trace,59.63282700000004,-151.48608720000001
seagrass,none,59.63266679999997,-151.48566500000004
seagrass,trace,59.63258560000002,-151.48545000000001
seagrass,trace,59.63250439999996,-151.485235
seagrass,none,59.632423200000005,-151.48502
seagrass,none,59.632267,-151.4846012
seagrass,none,59.63219199999997,-151.4843974
seagrass,trace,59.632116999999994,-151.4841936
seagrass,none,59.63204199999999,-151.48398980000002
seagrass,none,59.63188540000001,-151.483567
seagrass,none,59.63180380000001,-151.483348
seagrass,none,59.63172220000003,-151.483129
seagrass,none,59.63164060000004,-151.48291
seagrass,none,59.631479999999996,-151.4824788
seagrass,none,59.63140100000006,-151.4822666
seagrass,none,59.63132199999999,-151.48205439999998
seagrass,none,59.631242999999984,-151.4818422
seagrass,trace,59.63108859999997,-151.4814148
seagrass,trace,59.6310132,-151.4811996
seagrass,none,59.630937800000005,-151.4809844
seagrass,none,59.63086240000001,-151.4807692
seagrass,trace,59.630702800000016,-151.48033080000005
seagrass,none,59.630618599999984,-151.4801076
seagrass,trace,59.63053439999998,-151.4798844
seagrass,none,59.630450199999935,-151.4796612
seagrass,trace,59.63029800000001,-151.4792028
seagrass,trace,59.63022999999998,-151.4789676
seagrass,none,59.630162,-151.47873239999998
seagrass,trace,59.63009400000001,-151.4784972
seagrass,trace,59.62993879999996,-151.4780638
seagrass,none,59.62985159999999,-151.4778656
seagrass,trace,59.62976440000004,-151.4776674
seagrass,none,59.62967719999998,-151.4774692
seagrass,trace,59.629518399999974,-151.4770528
seagrass,trace,59.6294468,-151.4768346
seagrass,none,59.62937520000003,-151.4766164
seagrass,trace,59.6293036,-151.47639820000003
seagrass,thick,59.62994200000002,-151.4544
seagrass,thick,59.63037000000002,-151.455303
seagrass,thick,59.631174999999985,-151.457034
seagrass,thick,59.632819999999995,-151.46012
seagrass,thick,59.634451,-151.463085
seagrass,thick,59.63002760000001,-151.45458059999999
seagrass,thick,59.630113200000025,-151.45476119999998
seagrass,thick,59.63019879999998,-151.4549418
seagrass,thick,59.630284400000015,-151.4551224
seagrass,thick,59.630459444444476,-151.45549533333332
seagrass,thick,59.63054888888891,-151.45568766666665
seagrass,thick,59.63063833333332,-151.45587999999998
seagrass,thick,59.630727777777786,-151.4560723333333
seagrass,thick,59.630817222222234,-151.45626466666667
seagrass,thick,59.63090666666669,-151.456457
seagrass,thick,59.6309961111111,-151.45664933333333
seagrass,thick,59.63108555555552,-151.45684166666666
seagrass,thick,59.63127176470587,-151.45721552941177
seagrass,thick,59.63136852941178,-151.45739705882352
seagrass,thick,59.63146529411763,-151.4575785882353
seagrass,thick,59.631562058823505,-151.45776011764704
seagrass,thick,59.63165882352942,-151.45794164705885
seagrass,thick,59.63175558823531,-151.4581231764706
seagrass,thick,59.63185235294114,-151.45830470588234
seagrass,thick,59.63194911764708,-151.45848623529412
seagrass,thick,59.63204588235294,-151.45866776470587
seagrass,thick,59.6321426470588,-151.45884929411764
seagrass,thick,59.6322394117647,-151.4590308235294
seagrass,thick,59.6323361764706,-151.45921235294117
seagrass,thick,59.63243294117652,-151.45939388235294
seagrass,thick,59.632529705882376,-151.4595754117647
seagrass,thick,59.63262647058823,-151.4597569411765
seagrass,thick,59.63272323529409,-151.4599384705882
seagrass,thick,59.63291594117644,-151.4602944117647
seagrass,thick,59.63301188235292,-151.4604688235294
seagrass,thick,59.6331078235294,-151.4606432352941
seagrass,thick,59.633203764705875,-151.4608176470588
seagrass,thick,59.63329970588238,-151.46099205882354
seagrass,thick,59.63339564705882,-151.46116647058827
seagrass,thick,59.63349158823531,-151.46134088235294
seagrass,thick,59.633587529411805,-151.46151529411765
seagrass,thick,59.63368347058826,-151.46168970588235
seagrass,moderate,59.633779411764685,-151.46186411764705
seagrass,thick,59.63387535294124,-151.46203852941176
seagrass,thick,59.63397129411766,-151.46221294117646
seagrass,moderate,59.63406723529415,-151.4623873529412
seagrass,thick,59.63416317647059,-151.4625617647059
seagrass,moderate,59.63425911764709,-151.4627361764706
seagrass,thick,59.634355058823544,-151.46291058823533
seagrass,none,59.631816,-151.49233
seagrass,none,59.633065000000016,-151.491288
seagrass,trace,59.63315799999999,-151.491214
seagrass,trace,59.63377400000002,-151.490846
seagrass,none,59.63987100000001,-151.47449100000003
seagrass,trace,59.63906699999998,-151.47285
seagrass,trace,59.638278,-151.471198
seagrass,trace,59.637433999999985,-151.469503
seagrass,trace,59.63667700000005,-151.468212
seagrass,trace,59.635974999999995,-151.466773
seagrass,sparse,59.63515099999999,-151.465241
seagrass,thick,59.634432,-151.463582
seagrass,thick,59.633682,-151.462151
seagrass,none,59.63978166666669,-151.47430866666667
seagrass,none,59.63969233333335,-151.47412633333334
seagrass,none,59.63960299999997,-151.473944
